date,pct_respiratory,pm25,no2,ozone,temperature,humidity,pm25_lag14,no2_lag12,ozone_lag13,month,day_of_week,is_weekend,season_num,month_sin,month_cos
2022-10-09,15.32,7.597313193306913,7.15778384883721,0.0305985669224211,60.177879980830674,55.44972598568019,6.105620111208792,8.4789151778291,0.0314140735895339,10,6,1,3,-0.8660254037844386,0.5000000000000001
2022-10-10,14.35,8.635910586161303,9.639701431554524,0.0325403658119658,61.88082737420042,56.11792931980907,5.535372349611543,7.630214092378752,0.0304418378378378,10,0,0,3,-0.8660254037844386,0.5000000000000001
2022-10-11,14.3,9.154035618955511,9.190943305555557,0.0342993936806148,63.1021190149413,56.34112348086125,5.329798308888889,7.437301118055556,0.0284312929042904,10,1,0,3,-0.8660254037844386,0.5000000000000001
2022-10-12,14.32,8.99819636695652,8.510502163170163,0.0308446287170773,63.40800560063898,57.814096766109785,4.852062315222272,7.660195110091744,0.0285530074441687,10,2,0,3,-0.8660254037844386,0.5000000000000001
2022-10-13,14.02,7.113343119286025,8.271049503496503,0.0281257818336163,60.6946215823592,57.113224683333335,5.056905199444885,6.179587076744187,0.0293865004088307,10,3,0,3,-0.8660254037844386,0.5000000000000001
2022-10-14,13.41,7.175705626202813,9.172067707943926,0.0302902485106382,60.15778686474974,52.232022648325355,5.998141066756273,5.111612167832168,0.0305626264855687,10,4,0,3,-0.8660254037844386,0.5000000000000001
2022-10-15,14.51,7.422825464690497,6.981514206161138,0.0293817660119555,60.21683149893391,57.079926619617225,5.709677533392698,8.031749918793503,0.0290986394557823,10,5,1,3,-0.8660254037844386,0.5000000000000001
2022-10-16,15.87,7.687299554148472,6.161538575829384,0.0274943458904109,58.45018563646055,62.00037277033493,5.346266239081325,9.224649027842228,0.0286625632965165,10,6,1,3,-0.8660254037844386,0.5000000000000001
2022-10-17,14.84,6.445457505430566,7.943187571095572,0.0277348121783876,55.396541896698615,59.51600978520286,5.664890256660746,10.067064053240742,0.030442831632653,10,0,0,3,-0.8660254037844386,0.5000000000000001
2022-10-18,15.16,5.595463352915388,8.752213229166667,0.025260038095238,52.82970373064688,52.06253251068883,6.399911582819383,10.42339846728972,0.0314081109229466,10,1,0,3,-0.8660254037844386,0.5000000000000001
2022-10-19,15.12,6.1993175453752185,10.64923839534884,0.0249851380208333,52.94694490243902,46.92117724703088,7.312888189715621,9.42026475116279,0.0322241257434154,10,2,0,3,-0.8660254037844386,0.5000000000000001
2022-10-20,14.9,8.285043914473684,12.003229330210772,0.0303346518711923,56.169710370370375,44.429600722748816,8.085100226497595,7.008356617169373,0.0311582527472527,10,3,0,3,-0.8660254037844386,0.5000000000000001
2022-10-21,14.74,9.542824936521738,10.873688086247087,0.0368182055749128,59.46295107733051,46.926044713270144,7.870594714098647,7.15778384883721,0.029981220713073,10,4,0,3,-0.8660254037844386,0.5000000000000001
2022-10-22,16.29,10.598544772687609,6.881059614117647,0.0368224052401746,60.524916141039235,57.16231447268409,6.677687946980854,9.639701431554524,0.0305985669224211,10,5,1,3,-0.8660254037844386,0.5000000000000001
2022-10-23,18.15,8.75300972066822,5.293472818181818,0.034073278215223,57.71809949150743,61.878596028503566,7.597313193306913,9.190943305555557,0.0325403658119658,10,6,1,3,-0.8660254037844386,0.5000000000000001
2022-10-24,17.3,7.429825680439561,7.851842794326242,0.0282466925764192,55.87457226588983,59.86665242992874,8.635910586161303,8.510502163170163,0.0342993936806148,10,0,0,3,-0.8660254037844386,0.5000000000000001
2022-10-25,17.85,6.870859592756184,9.398569820093458,0.0256285645724258,54.681967861849095,60.348400695962,9.154035618955511,8.271049503496503,0.0308446287170773,10,1,0,3,-0.8660254037844386,0.5000000000000001
2022-10-26,17.62,5.692806639035418,9.649265850117096,0.0243645881326352,52.44194821951219,64.6312911472684,8.99819636695652,9.172067707943926,0.0281257818336163,10,2,0,3,-0.8660254037844386,0.5000000000000001
2022-10-27,17.0,5.712361204605846,9.132842763466044,0.0276021865736704,51.27748744656085,58.83292812826603,7.113343119286025,6.981514206161138,0.0302902485106382,10,3,0,3,-0.8660254037844386,0.5000000000000001
2022-10-28,16.49,7.270343354157501,10.467218988290398,0.0261840419213973,51.5044787410148,57.03773131279621,7.175705626202813,6.161538575829384,0.0293817660119555,10,4,0,3,-0.8660254037844386,0.5000000000000001
2022-10-29,17.77,9.179731127145086,10.218549533018868,0.0277698108581436,52.555653937566134,57.080511703087886,7.422825464690497,7.943187571095572,0.0274943458904109,10,5,1,3,-0.8660254037844386,0.5000000000000001
2022-10-30,19.77,9.938829701986757,10.160265903073286,0.0257860747581354,53.857604608695645,58.77579502857142,7.687299554148472,8.752213229166667,0.0277348121783876,10,6,1,3,-0.8660254037844386,0.5000000000000001
2022-10-31,18.85,9.555440887908208,12.559750845070422,0.0253367442882249,56.09951432592593,60.99810150952381,6.445457505430566,10.64923839534884,0.025260038095238,10,0,0,3,-0.8660254037844386,0.5000000000000001
2022-11-01,19.55,9.672092331254586,10.030093728337237,0.0289640077619663,57.02583005894737,62.43637194033413,5.595463352915388,12.003229330210772,0.0249851380208333,11,1,0,3,-0.5000000000000004,0.8660254037844384
2022-11-02,19.87,10.08308625,9.110389387850468,0.0294987953063885,55.497593766631475,64.77911963397129,6.1993175453752185,10.873688086247087,0.0303346518711923,11,2,0,3,-0.5000000000000004,0.8660254037844384
2022-11-03,19.61,9.68768287587108,8.616647449648712,0.0277007079530638,52.688839278012686,68.5757276354916,8.285043914473684,6.881059614117647,0.0368182055749128,11,3,0,3,-0.5000000000000004,0.8660254037844384
2022-11-04,18.86,8.278864048536208,9.043067399061034,0.0262054384816753,52.86697669034995,66.99600717745804,9.542824936521738,5.293472818181818,0.0368224052401746,11,4,0,3,-0.5000000000000004,0.8660254037844384
2022-11-05,20.21,5.764756366754618,6.944800700234192,0.0276762597911227,54.302631714893614,65.57733390865384,10.598544772687609,7.851842794326242,0.034073278215223,11,5,1,3,-0.5000000000000004,0.8660254037844384
2022-11-06,21.77,5.8513763819383255,6.097566697183098,0.0278407058823529,55.39768754100106,64.86002718509616,8.75300972066822,9.398569820093458,0.0282466925764192,11,6,1,3,-0.5000000000000004,0.8660254037844384
2022-11-07,20.44,5.52113306366344,6.907568766899767,0.02668425,55.27239651483051,63.73738482254197,7.429825680439561,9.649265850117096,0.0256285645724258,11,0,0,3,-0.5000000000000004,0.8660254037844384
2022-11-08,20.15,5.731556861220905,6.899647455813954,0.0265890318725099,52.47808783492064,66.35221112740385,6.870859592756184,9.132842763466044,0.0243645881326352,11,1,0,3,-0.5000000000000004,0.8660254037844384
2022-11-09,19.71,7.612548683421517,8.436018088785046,0.026737588313413,51.12076462314225,67.25146863855421,5.692806639035418,10.467218988290398,0.0276021865736704,11,2,0,3,-0.5000000000000004,0.8660254037844384
2022-11-10,19.26,8.180152790089739,9.366782786542924,0.0261319464524765,50.13221331842386,66.9788297584541,5.712361204605846,10.218549533018868,0.0261840419213973,11,3,0,3,-0.5000000000000004,0.8660254037844384
2022-11-11,18.87,6.599426779307282,9.092970273364486,0.022539694259012,45.97051801814301,68.45996138834951,7.270343354157501,10.160265903073286,0.0277698108581436,11,4,0,3,-0.5000000000000004,0.8660254037844384
2022-11-12,20.33,6.56254517316209,7.737501588652483,0.0236976639892904,42.12605173019272,66.42984370631068,9.179731127145086,12.559750845070422,0.0257860747581354,11,5,1,3,-0.5000000000000004,0.8660254037844384
2022-11-13,22.3,5.678556674685418,6.593404512941177,0.0255860388219544,39.50590724786325,63.63666352184465,9.938829701986757,10.030093728337237,0.0253367442882249,11,6,1,3,-0.5000000000000004,0.8660254037844384
2022-11-14,20.56,6.8127273529411765,9.858187371495326,0.0237379853333333,38.98243160425532,63.48477846376811,9.555440887908208,9.110389387850468,0.0289640077619663,11,0,0,3,-0.5000000000000004,0.8660254037844384
2022-11-15,20.57,7.905905030701754,10.693340504651164,0.0240099187749667,38.637150114528104,66.9217354313253,9.672092331254586,8.616647449648712,0.0294987953063885,11,1,0,3,-0.5000000000000004,0.8660254037844384
2022-11-16,20.36,7.633582414984472,9.754798104651163,0.0244669602122015,39.32376356581741,62.47963856354916,10.08308625,9.043067399061034,0.0277007079530638,11,2,0,3,-0.5000000000000004,0.8660254037844384
2022-11-17,20.04,8.045826165433173,11.468409060324824,0.0252157746666666,36.99370467303609,59.05064484172662,9.68768287587108,6.944800700234192,0.0262054384816753,11,3,0,3,-0.5000000000000004,0.8660254037844384
2022-11-18,19.73,7.796591459353147,10.752945590277776,0.0268194727030625,34.53367183757962,57.17080277458034,8.278864048536208,6.097566697183098,0.0276762597911227,11,4,0,3,-0.5000000000000004,0.8660254037844384
2022-11-19,21.65,7.686572913986536,9.0573476937355,0.0267051384820239,34.552864182590234,53.23390472355769,5.764756366754618,6.907568766899767,0.0278407058823529,11,5,1,3,-0.5000000000000004,0.8660254037844384
2022-11-20,24.24,7.548937745245467,9.703568958139536,0.0268591621983914,35.56606117021277,49.23415800240963,5.8513763819383255,6.899647455813954,0.02668425,11,6,1,3,-0.5000000000000004,0.8660254037844384
2022-11-21,22.57,9.015607477876106,14.270784353488372,0.0244394268456375,38.70632403075292,50.273997442583735,5.52113306366344,8.436018088785046,0.0265890318725099,11,0,0,3,-0.5000000000000004,0.8660254037844384
2022-11-22,22.66,11.635332169465052,16.76526821527778,0.0227937930574098,42.077814658898305,53.536592734449755,5.731556861220905,9.366782786542924,0.026737588313413,11,1,0,3,-0.5000000000000004,0.8660254037844384
2022-11-23,22.58,13.021140492994746,16.27340431712963,0.0256551411451398,44.86662325,58.366183446043166,7.612548683421517,9.092970273364486,0.0261319464524765,11,2,0,3,-0.5000000000000004,0.8660254037844384
2022-11-24,26.14,12.20569869190372,10.919658487179488,0.0268386091030789,46.07617448777896,60.62874938609113,8.180152790089739,7.737501588652483,0.022539694259012,11,3,0,3,-0.5000000000000004,0.8660254037844384
2022-11-25,24.57,9.303434531883523,10.191998154205608,0.0236379009370816,46.22315775505857,60.97708298561151,6.599426779307282,6.593404512941177,0.0236976639892904,11,4,0,3,-0.5000000000000004,0.8660254037844384
2022-11-26,25.04,8.695693909850483,10.45472981775701,0.0245918337801608,45.49987464042553,62.37620512709832,6.56254517316209,9.858187371495326,0.0255860388219544,11,5,1,3,-0.5000000000000004,0.8660254037844384
2022-11-27,26.58,7.314592575209528,9.6830761682243,0.0253423758389261,46.062307873673035,67.16778787529975,5.678556674685418,10.693340504651164,0.0237379853333333,11,6,1,3,-0.5000000000000004,0.8660254037844384
2022-11-28,23.83,6.640474364170913,9.70059254524362,0.0268403648468708,44.05413653439154,67.733504569378,6.8127273529411765,9.754798104651163,0.0240099187749667,11,0,0,3,-0.5000000000000004,0.8660254037844384
2022-11-29,23.26,7.557805046470846,9.474146018561484,0.0246258763297872,42.748686306553914,68.27939985406698,7.905905030701754,11.468409060324824,0.0244669602122015,11,1,0,3,-0.5000000000000004,0.8660254037844384
2022-11-30,22.62,5.706256527704485,9.6441263549884,0.025686774535809,39.353025406743946,63.603418181818185,7.633582414984472,10.752945590277776,0.0252157746666666,11,2,0,3,-0.5000000000000004,0.8660254037844384
2022-12-01,21.81,5.733088662829559,9.07224638551402,0.0257980656836461,39.69187515628301,58.56192884134615,8.045826165433173,9.0573476937355,0.0268194727030625,12,3,0,0,-2.4492935982947064e-16,1.0
2022-12-02,21.05,6.788724376583661,9.96951995116279,0.0237161273458445,42.852763819238895,67.03576983373495,7.796591459353147,9.703568958139536,0.0267051384820239,12,4,0,0,-2.4492935982947064e-16,1.0
