date,temperature,temp_n_stations
2022-09-25,68.25499998321091,953
2022-09-26,67.7099119017764,957
2022-09-27,65.93113606471816,958
2022-09-28,65.03534792251308,955
2022-09-29,64.08211303382664,946
2022-09-30,62.287903969344605,946
2022-10-01,62.22502361015119,926
2022-10-02,62.30773064820847,921
2022-10-03,61.447962824222934,933
2022-10-04,61.78537285021552,928
2022-10-05,63.220318930629674,937
2022-10-06,63.74599488191489,940
2022-10-07,61.342381183846975,941
2022-10-08,59.38289538125665,939
2022-10-09,60.177879980830674,939
2022-10-10,61.88082737420042,938
2022-10-11,63.1021190149413,937
2022-10-12,63.40800560063898,939
2022-10-13,60.6946215823592,941
2022-10-14,60.15778686474974,939
2022-10-15,60.21683149893391,938
2022-10-16,58.45018563646055,938
2022-10-17,55.396541896698615,939
2022-10-18,52.82970373064688,943
2022-10-19,52.94694490243902,943
2022-10-20,56.169710370370375,945
2022-10-21,59.46295107733051,944
2022-10-22,60.524916141039235,943
2022-10-23,57.71809949150743,942
2022-10-24,55.87457226588983,944
2022-10-25,54.681967861849095,941
2022-10-26,52.44194821951219,943
2022-10-27,51.27748744656085,945
2022-10-28,51.5044787410148,946
2022-10-29,52.555653937566134,945
2022-10-30,53.857604608695645,943
2022-10-31,56.09951432592593,945
2022-11-01,57.02583005894737,950
2022-11-02,55.497593766631475,947
2022-11-03,52.688839278012686,946
2022-11-04,52.86697669034995,943
2022-11-05,54.302631714893614,940
2022-11-06,55.39768754100106,939
2022-11-07,55.27239651483051,944
2022-11-08,52.478087834920636,945
2022-11-09,51.12076462314225,942
2022-11-10,50.13221331842386,939
2022-11-11,45.97051801814301,937
2022-11-12,42.12605173019272,934
2022-11-13,39.50590724786325,936
2022-11-14,38.98243160425532,940
2022-11-15,38.637150114528104,943
2022-11-16,39.32376356581741,942
2022-11-17,36.99370467303609,942
2022-11-18,34.53367183757962,942
2022-11-19,34.552864182590234,942
2022-11-20,35.56606117021277,940
2022-11-21,38.70632403075292,943
2022-11-22,42.077814658898305,944
2022-11-23,44.866623249999996,944
2022-11-24,46.07617448777896,941
2022-11-25,46.22315775505857,939
2022-11-26,45.49987464042553,940
2022-11-27,46.062307873673035,942
2022-11-28,44.05413653439154,945
2022-11-29,42.748686306553914,946
2022-11-30,39.353025406743946,949
2022-12-01,39.691875156283004,947
2022-12-02,42.852763819238895,946
2022-12-03,42.53786772823779,942
2022-12-04,41.547032843054076,943
2022-12-05,43.735789996825396,945
2022-12-06,44.729182663124334,941
2022-12-07,45.33575341754757,946
2022-12-08,44.304639693446084,946
2022-12-09,42.787698973516946,944
2022-12-10,42.977770606574765,943
2022-12-11,43.037593961783436,942
2022-12-12,40.79562451687764,948
2022-12-13,39.026140650475185,947
2022-12-14,38.19029763991552,947
2022-12-15,37.119285752109704,948
2022-12-16,34.961698839153435,945
2022-12-17,32.90780080275716,943
2022-12-18,31.013438580063625,943
2022-12-19,31.5481231128692,948
2022-12-20,32.82928624421052,950
2022-12-21,31.584967238696112,951
2022-12-22,27.25012095899054,951
2022-12-23,22.435180596620906,947
2022-12-24,25.390512378061768,939
2022-12-25,31.01197116489362,940
2022-12-26,34.355619863974496,941
2022-12-27,37.886649049735446,945
2022-12-28,42.54777427157895,950
2022-12-29,45.136389800632905,948
2022-12-30,45.34745205801688,948
2022-12-31,46.682961161392406,948
2023-01-01,46.30275015940489,941
2023-01-02,45.08547147077577,941
2023-01-03,45.05666061864407,944
2023-01-04,44.215832397667015,943
2023-01-05,41.79931978964059,946
2023-01-06,40.87050964067439,949
2023-01-07,40.68205860232067,948
2023-01-08,40.330400057022175,947
2023-01-09,41.8314576969377,947
2023-01-10,43.91289362,950
2023-01-11,44.11046922560336,953
2023-01-12,42.94443058071278,954
2023-01-13,40.214725293193716,955
2023-01-14,38.60705736649214,955
2023-01-15,40.89653455031447,954
2023-01-16,42.750407350472194,953
2023-01-17,43.04930188982162,953
2023-01-18,42.220237807570975,951
2023-01-19,40.1086063812038,947
2023-01-20,37.6822089947313,949
2023-01-21,35.797832646251315,947
2023-01-22,35.59064996304118,947
2023-01-23,36.113653185850055,947
2023-01-24,36.84951094426919,951
2023-01-25,37.254993869198316,948
2023-01-26,36.89045867263158,950
2023-01-27,37.502911818086226,951
2023-01-28,38.392016829652995,951
2023-01-29,34.226868060063225,949
2023-01-30,29.585547069400633,951
2023-01-31,28.847606050473185,951
2023-02-01,31.497126335805085,944
2023-02-02,33.813903074388946,941
2023-02-03,32.764059952229296,942
2023-02-04,36.2701971581741,942
2023-02-05,42.86626371549894,942
2023-02-06,43.32997858474576,944
2023-02-07,43.048926897245764,944
2023-02-08,43.262229185185184,945
2023-02-09,43.00231498521647,947
2023-02-10,40.842391381856544,948
2023-02-11,39.11772756599789,947
2023-02-12,41.082409803174606,945
2023-02-13,43.33486064631579,950
2023-02-14,43.495704405491026,947
2023-02-15,42.387016644514766,948
2023-02-16,38.688228922995776,948
2023-02-17,36.495893059071726,948
2023-02-18,37.90157751216931,945
2023-02-19,44.28915295343915,945
2023-02-20,48.4241272173913,943
2023-02-21,46.463902748945145,948
2023-02-22,40.333198383720934,946
2023-02-23,37.648237316348194,942
2023-02-24,36.190417508492565,942
2023-02-25,38.167575149522804,943
2023-02-26,42.893880625,944
2023-02-27,44.75766330517423,947
2023-02-28,44.906009753164554,948
2023-03-01,44.659719482866045,963
2023-03-02,43.97327317080745,966
2023-03-03,43.066142626943005,965
2023-03-04,43.13582884599376,961
2023-03-05,45.38693221145833,960
2023-03-06,46.32991800415369,963
2023-03-07,44.253826367768596,968
2023-03-08,42.87230181320949,969
2023-03-09,44.318601032921805,972
2023-03-10,45.413468096807414,971
2023-03-11,45.842050915463915,970
2023-03-12,43.512690332988626,967
2023-03-13,42.97957258264463,968
2023-03-14,42.93653431088083,965
2023-03-15,45.28876069678089,963
2023-03-16,45.66308859067358,965
2023-03-17,41.64847281619937,963
2023-03-18,39.35511551247401,962
2023-03-19,38.78369535483871,961
2023-03-20,42.76872256787565,965
2023-03-21,45.68996521243523,965
2023-03-22,49.10438626064382,963
2023-03-23,50.336822582815735,966
2023-03-24,47.510033627066115,968
2023-03-25,45.98637638095238,966
2023-03-26,46.166115171310636,969
2023-03-27,45.77932275823046,972
2023-03-28,45.37963403285421,974
2023-03-29,45.3019132523172,971
2023-03-30,46.6258997507724,971
2023-03-31,50.718786993833504,973
2023-04-01,51.980950038934424,976
2023-04-02,50.959862679050566,969
2023-04-03,51.69489004290092,979
2023-04-04,51.66075463608563,981
2023-04-05,49.869682622448984,980
2023-04-06,48.79883929268293,984
2023-04-07,49.34018487906504,984
2023-04-08,50.98737462639594,985
2023-04-09,54.1906740964467,985
2023-04-10,57.48643878760162,984
2023-04-11,60.82303434517767,985
2023-04-12,61.586439281947264,986
2023-04-13,59.88182662170386,986
2023-04-14,58.56185814052953,982
2023-04-15,58.2037788470948,981
2023-04-16,55.712306880612246,980
2023-04-17,54.40946801529052,981
2023-04-18,54.02172565615463,983
2023-04-19,53.79996815423902,979
2023-04-20,55.93452515345528,984
2023-04-21,55.912373270600206,983
2023-04-22,53.35530488217213,976
2023-04-23,51.65613949185336,982
2023-04-24,52.95956235198373,983
2023-04-25,53.83505776774848,986
2023-04-26,56.06165910162601,984
2023-04-27,58.149513553752534,986
2023-04-28,58.75518498883249,985
2023-04-29,59.6393641395112,982
2023-04-30,58.98929024236252,982
2023-05-01,57.37260649235474,981
2023-05-02,56.86931926836735,980
2023-05-03,57.82392675178026,983
2023-05-04,58.17564727670396,983
2023-05-05,59.77391579552391,983
2023-05-06,61.31157232756867,983
2023-05-07,62.812001068367344,980
2023-05-08,63.50251781716037,979
2023-05-09,62.79668554192229,978
2023-05-10,63.0182392597137,978
2023-05-11,64.96023491632653,980
2023-05-12,67.27677854989817,982
2023-05-13,66.86761813789582,979
2023-05-14,65.69536558895706,978
2023-05-15,66.04476159631147,976
2023-05-16,67.1534662803262,981
2023-05-17,64.88740818042812,981
2023-05-18,64.40574401019367,981
2023-05-19,65.65624727319062,981
2023-05-20,65.70832895603272,978
2023-05-21,66.59382223848516,977
2023-05-22,67.25494535300102,983
2023-05-23,67.24382443699187,984
2023-05-24,65.85614052690356,985
2023-05-25,64.25587323045686,985
2023-05-26,64.67851437804879,984
2023-05-27,65.85634585670732,984
2023-05-28,66.70217212207527,983
2023-05-29,68.06585746122448,980
2023-05-30,68.46207663857868,985
2023-05-31,69.1220045704154,987
2023-06-01,69.59086488145897,987
2023-06-02,70.33857975865581,982
2023-06-03,69.6789746401631,981
