date,pct_respiratory,pm25,pm25_n_stations,no2,no2_n_stations,ozone,ozone_n_stations,temperature,temp_n_stations,humidity,humidity_n_stations
2022-09-25,14.14,6.105620111208792,2275,6.223313852459016,427,0.03186775266175266,1221,68.25499998321091,953,54.27309147281324,423
2022-09-26,13.21,5.535372349611543,2703,8.019504489510489,429,0.031414073589533936,1223,67.7099119017764,957,51.46201237825059,423
2022-09-27,13.13,5.329798308888889,2250,8.4789151778291,433,0.030441837837837837,1221,65.93113606471816,958,48.541956608490565,424
2022-09-28,13.1,4.852062315222272,2227,7.630214092378752,433,0.02843129290429043,1212,65.03534792251308,955,50.68305140330189,424
2022-09-29,13.0,5.056905199444885,2522,7.437301118055556,432,0.028553007444168735,1209,64.08211303382664,946,55.084231995271864,423
2022-09-30,12.57,5.998141066756273,2232,7.660195110091744,436,0.029386500408830743,1223,62.287903969344605,946,59.79502311217184,419
2022-10-01,13.45,5.709677533392698,2246,6.179587076744187,430,0.03056262648556876,1178,62.22502361015119,926,63.25489173493976,415
2022-10-02,14.79,5.346266239081325,2656,5.111612167832168,429,0.02909863945578231,1176,62.30773064820847,921,63.08279877777778,414
2022-10-03,13.5,5.664890256660746,2252,8.031749918793503,431,0.028662563296516563,1177,61.447962824222934,933,61.07285263461539,416
2022-10-04,13.58,6.399911582819383,2270,9.224649027842228,431,0.030442831632653062,1176,61.78537285021552,928,61.121881332530116,415
2022-10-05,13.42,7.312888189715621,2567,10.067064053240742,432,0.03140811092294665,1181,63.220318930629674,937,59.65102373621103,417
2022-10-06,13.03,8.085100226497595,2287,10.42339846728972,428,0.03222412574341546,1177,63.74599488191489,940,58.6054125430622,418
2022-10-07,12.9,7.870594714098647,2291,9.42026475116279,430,0.03115825274725275,1183,61.342381183846975,941,58.902745045346066,419
2022-10-08,13.98,6.677687946980854,2716,7.008356617169373,431,0.029981220713073006,1178,59.38289538125665,939,56.142244727923625,419
2022-10-09,15.32,7.597313193306913,2271,7.15778384883721,430,0.030598566922421144,1173,60.177879980830674,939,55.44972598568019,419
2022-10-10,14.35,8.635910586161303,2269,9.639701431554524,431,0.032540365811965816,1170,61.88082737420042,938,56.11792931980907,419
2022-10-11,14.3,9.154035618955513,2585,9.190943305555557,432,0.034299393680614854,1171,63.1021190149413,937,56.34112348086125,418
2022-10-12,14.32,8.99819636695652,2300,8.510502163170163,429,0.030844628717077313,1177,63.40800560063898,939,57.814096766109785,419
2022-10-13,14.02,7.113343119286025,2297,8.271049503496503,429,0.0281257818336163,1178,60.6946215823592,941,57.113224683333335,420
2022-10-14,13.41,7.175705626202813,2702,9.172067707943926,428,0.030290248510638298,1175,60.15778686474974,939,52.232022648325355,418
2022-10-15,14.51,7.422825464690497,2294,6.981514206161138,422,0.029381766011955593,1171,60.21683149893391,938,57.079926619617225,418
2022-10-16,15.87,7.687299554148472,2290,6.161538575829384,422,0.02749434589041096,1168,58.45018563646055,938,62.00037277033493,418
2022-10-17,14.84,6.445457505430566,2578,7.943187571095572,429,0.02773481217838765,1166,55.396541896698615,939,59.51600978520286,419
2022-10-18,15.16,5.595463352915388,2281,8.752213229166667,432,0.025260038095238094,1155,52.82970373064688,943,52.06253251068883,421
2022-10-19,15.12,6.1993175453752185,2292,10.649238395348839,430,0.024985138020833336,1152,52.94694490243902,943,46.92117724703088,421
2022-10-20,14.9,8.285043914473684,2736,12.003229330210772,427,0.03033465187119234,1149,56.169710370370375,945,44.429600722748816,422
2022-10-21,14.74,9.542824936521738,2300,10.873688086247087,429,0.03681820557491289,1148,59.46295107733051,944,46.926044713270144,422
2022-10-22,16.29,10.598544772687609,2292,6.881059614117647,425,0.036822405240174674,1145,60.524916141039235,943,57.16231447268409,421
2022-10-23,18.15,8.75300972066822,2574,5.293472818181818,418,0.034073278215223095,1143,57.71809949150743,942,61.878596028503566,421
2022-10-24,17.3,7.429825680439561,2275,7.851842794326242,423,0.028246692576419215,1145,55.87457226588983,944,59.86665242992874,421
2022-10-25,17.85,6.870859592756184,2264,9.398569820093458,428,0.02562856457242583,1146,54.681967861849095,941,60.348400695962,421
2022-10-26,17.62,5.692806639035418,2654,9.649265850117095,427,0.024364588132635253,1146,52.44194821951219,943,64.6312911472684,421
2022-10-27,17.0,5.712361204605846,2258,9.132842763466043,427,0.027602186573670442,1147,51.27748744656085,945,58.83292812826603,421
2022-10-28,16.49,7.270343354157501,2273,10.467218988290398,427,0.02618404192139738,1145,51.5044787410148,946,57.037731312796204,422
2022-10-29,17.77,9.179731127145086,2564,10.218549533018868,424,0.027769810858143607,1142,52.555653937566134,945,57.080511703087886,421
2022-10-30,19.77,9.938829701986755,2265,10.160265903073286,423,0.025786074758135446,1137,53.857604608695645,943,58.77579502857142,420
2022-10-31,18.85,9.555440887908208,2266,12.559750845070422,426,0.025336744288224956,1138,56.09951432592593,945,60.99810150952381,420
2022-11-01,19.55,9.672092331254586,2726,10.030093728337235,427,0.028964007761966365,773,57.02583005894737,950,62.43637194033413,419
2022-11-02,19.87,10.083086250000001,2300,9.110389387850468,428,0.029498795306388523,767,55.497593766631475,947,64.77911963397129,418
