date,no2,no2_n_stations
2022-09-25,6.223313852459016,427
2022-09-26,8.019504489510489,429
2022-09-27,8.4789151778291,433
2022-09-28,7.630214092378752,433
2022-09-29,7.437301118055556,432
2022-09-30,7.660195110091744,436
2022-10-01,6.179587076744187,430
2022-10-02,5.111612167832168,429
2022-10-03,8.031749918793503,431
2022-10-04,9.224649027842228,431
2022-10-05,10.067064053240742,432
2022-10-06,10.42339846728972,428
2022-10-07,9.42026475116279,430
2022-10-08,7.008356617169373,431
2022-10-09,7.15778384883721,430
2022-10-10,9.639701431554524,431
2022-10-11,9.190943305555557,432
2022-10-12,8.510502163170163,429
2022-10-13,8.271049503496503,429
2022-10-14,9.172067707943926,428
2022-10-15,6.981514206161138,422
2022-10-16,6.161538575829384,422
2022-10-17,7.943187571095572,429
2022-10-18,8.752213229166667,432
2022-10-19,10.649238395348839,430
2022-10-20,12.003229330210772,427
2022-10-21,10.873688086247087,429
2022-10-22,6.881059614117647,425
2022-10-23,5.293472818181818,418
2022-10-24,7.851842794326242,423
2022-10-25,9.398569820093458,428
2022-10-26,9.649265850117095,427
2022-10-27,9.132842763466043,427
2022-10-28,10.467218988290398,427
2022-10-29,10.218549533018868,424
2022-10-30,10.160265903073286,423
2022-10-31,12.559750845070422,426
2022-11-01,10.030093728337235,427
2022-11-02,9.110389387850468,428
2022-11-03,8.616647449648712,427
2022-11-04,9.043067399061034,426
2022-11-05,6.944800700234192,427
2022-11-06,6.097566697183098,426
2022-11-07,6.907568766899767,429
2022-11-08,6.899647455813954,430
2022-11-09,8.436018088785046,428
2022-11-10,9.366782786542924,431
2022-11-11,9.092970273364486,428
2022-11-12,7.737501588652483,423
2022-11-13,6.593404512941177,425
2022-11-14,9.858187371495326,428
2022-11-15,10.693340504651163,430
2022-11-16,9.754798104651163,430
2022-11-17,11.468409060324825,431
2022-11-18,10.752945590277777,432
2022-11-19,9.0573476937355,431
2022-11-20,9.703568958139536,430
2022-11-21,14.270784353488372,430
2022-11-22,16.76526821527778,432
2022-11-23,16.27340431712963,432
2022-11-24,10.919658487179488,429
2022-11-25,10.191998154205608,428
2022-11-26,10.45472981775701,428
2022-11-27,9.6830761682243,428
2022-11-28,9.70059254524362,431
2022-11-29,9.474146018561484,431
2022-11-30,9.6441263549884,431
2022-12-01,9.072246385514019,428
2022-12-02,9.96951995116279,430
2022-12-03,8.570627072769954,426
2022-12-04,8.694303450236967,422
2022-12-05,10.881794719626168,428
2022-12-06,11.076659477751758,427
2022-12-07,10.559997864801865,429
2022-12-08,10.03485779350348,431
2022-12-09,10.171186812933025,433
2022-12-10,8.25806534883721,430
2022-12-11,6.554163164319249,426
2022-12-12,8.07439158041958,429
2022-12-13,9.197017028037383,428
2022-12-14,10.27917270657277,426
2022-12-15,11.133384262295081,427
2022-12-16,10.358599855140188,428
2022-12-17,10.13215948711944,427
2022-12-18,9.895900065573771,427
2022-12-19,11.786345418224299,428
2022-12-20,12.366995719626168,428
2022-12-21,13.716584123543123,429
2022-12-22,11.610678971830987,426
2022-12-23,8.81768776555024,418
2022-12-24,9.025490326086956,414
2022-12-25,9.311791079326923,416
2022-12-26,12.090051173076924,416
2022-12-27,12.044394332541566,421
2022-12-28,11.629997636792453,424
2022-12-29,11.4699054608076,421
2022-12-30,11.32665429928741,421
2022-12-31,8.821433204761904,420
2023-01-01,6.723099286746988,415
2023-01-02,8.313829479318736,411
2023-01-03,9.483647477218225,417
2023-01-04,10.120273722222223,414
2023-01-05,10.123849503631961,413
2023-01-06,11.410077893719807,414
2023-01-07,9.704568603406326,411
2023-01-08,9.11325197815534,412
2023-01-09,10.696120836538462,416
2023-01-10,10.791666400954654,419
2023-01-11,11.04288695215311,418
2023-01-12,10.743642751196171,418
2023-01-13,10.120173109263657,421
2023-01-14,8.42255791826923,416
2023-01-15,6.546705243961353,414
2023-01-16,8.668595871980676,414
2023-01-17,11.339206701923077,416
2023-01-18,9.838187925837321,418
2023-01-19,10.696577908653847,416
2023-01-20,9.132030580722892,415
2023-01-21,8.838623510948905,411
2023-01-22,8.526587932692307,416
2023-01-23,8.581821906698565,418
2023-01-24,11.05512962529833,419
2023-01-25,10.862917928229665,418
2023-01-26,9.430383490521328,422
2023-01-27,11.815676021126762,426
2023-01-28,9.587979367924529,424
2023-01-29,7.151798021479714,419
2023-01-30,9.396127288732394,426
2023-01-31,10.446786678403756,426
2023-02-01,12.080284263403264,429
2023-02-02,13.509371855477855,429
2023-02-03,11.001954302325583,430
2023-02-04,10.33412110046729,428
2023-02-05,9.447514558962265,424
2023-02-06,9.93721682201405,427
2023-02-07,10.761820745920746,429
2023-02-08,12.479332918604651,430
2023-02-09,11.476634960739029,433
2023-02-10,9.474981853828305,431
2023-02-11,9.119516195804197,429
2023-02-12,10.585456859813085,428
2023-02-13,10.769048226107225,429
2023-02-14,8.789151577102803,428
2023-02-15,8.318106284382285,429
2023-02-16,10.819384965197216,431
2023-02-17,9.676753112643677,435
2023-02-18,9.973019789351852,432
2023-02-19,9.297882009280743,431
2023-02-20,10.916494928074245,431
2023-02-21,8.586900434579439,428
2023-02-22,6.562199430260048,423
2023-02-23,6.939107572429906,428
2023-02-24,6.736755840375587,426
2023-02-25,7.595368552693209,427
2023-02-26,7.481827009411765,425
2023-02-27,8.019110509345795,428
2023-02-28,7.843282317016317,429
2023-03-01,8.22778261627907,430
2023-03-02,8.359037176334107,431
2023-03-03,8.696856004651163,430
2023-03-04,7.422236792540793,429
2023-03-05,6.936738628504673,428
2023-03-06,8.007806518604651,430
2023-03-07,7.210833070754718,424
2023-03-08,7.646176466042155,427
