date,ozone,ozone_n_stations
2022-09-25,0.03186775266175266,1221
2022-09-26,0.031414073589533936,1223
2022-09-27,0.030441837837837837,1221
2022-09-28,0.02843129290429043,1212
2022-09-29,0.028553007444168735,1209
2022-09-30,0.029386500408830743,1223
2022-10-01,0.03056262648556876,1178
2022-10-02,0.02909863945578231,1176
2022-10-03,0.028662563296516563,1177
2022-10-04,0.030442831632653062,1176
2022-10-05,0.03140811092294665,1181
2022-10-06,0.03222412574341546,1177
2022-10-07,0.03115825274725275,1183
2022-10-08,0.029981220713073006,1178
2022-10-09,0.030598566922421144,1173
2022-10-10,0.032540365811965816,1170
2022-10-11,0.034299393680614854,1171
2022-10-12,0.030844628717077313,1177
2022-10-13,0.0281257818336163,1178
2022-10-14,0.030290248510638298,1175
2022-10-15,0.029381766011955593,1171
2022-10-16,0.02749434589041096,1168
2022-10-17,0.02773481217838765,1166
2022-10-18,0.025260038095238094,1155
2022-10-19,0.024985138020833336,1152
2022-10-20,0.03033465187119234,1149
2022-10-21,0.03681820557491289,1148
2022-10-22,0.036822405240174674,1145
2022-10-23,0.034073278215223095,1143
2022-10-24,0.028246692576419215,1145
2022-10-25,0.02562856457242583,1146
2022-10-26,0.024364588132635253,1146
2022-10-27,0.027602186573670442,1147
2022-10-28,0.02618404192139738,1145
2022-10-29,0.027769810858143607,1142
2022-10-30,0.025786074758135446,1137
2022-10-31,0.025336744288224956,1138
2022-11-01,0.028964007761966365,773
2022-11-02,0.029498795306388523,767
2022-11-03,0.027700707953063883,767
2022-11-04,0.026205438481675395,764
2022-11-05,0.027676259791122718,766
2022-11-06,0.02784070588235294,765
2022-11-07,0.02668425,760
2022-11-08,0.02658903187250996,753
2022-11-09,0.026737588313413014,753
2022-11-10,0.026131946452476573,747
2022-11-11,0.022539694259012016,749
2022-11-12,0.023697663989290497,747
2022-11-13,0.025586038821954482,747
2022-11-14,0.023737985333333333,750
2022-11-15,0.02400991877496671,751
2022-11-16,0.02446696021220159,754
2022-11-17,0.025215774666666666,750
2022-11-18,0.026819472703062584,751
2022-11-19,0.026705138482023966,751
2022-11-20,0.02685916219839142,746
2022-11-21,0.024439426845637584,745
2022-11-22,0.022793793057409882,749
2022-11-23,0.025655141145139813,751
2022-11-24,0.026838609103078982,747
2022-11-25,0.023637900937081662,747
2022-11-26,0.024591833780160856,746
2022-11-27,0.025342375838926175,745
2022-11-28,0.02684036484687084,751
2022-11-29,0.024625876329787234,752
2022-11-30,0.025686774535809018,754
2022-12-01,0.02579806568364611,746
2022-12-02,0.023716127345844502,746
2022-12-03,0.02123479166666667,744
2022-12-04,0.020274889784946234,744
2022-12-05,0.020886600806451612,744
2022-12-06,0.020074445047489824,737
2022-12-07,0.01846461527967258,733
2022-12-08,0.021310166892808683,737
2022-12-09,0.021541020408163265,735
2022-12-10,0.024378428180574552,731
2022-12-11,0.024122886456908344,731
2022-12-12,0.02338208665749656,727
2022-12-13,0.023067110650069153,723
2022-12-14,0.022648189226519337,724
2022-12-15,0.02234049245541838,729
2022-12-16,0.024361475994513035,729
2022-12-17,0.023211415637860083,729
2022-12-18,0.023702547455295736,727
2022-12-19,0.021725341192787795,721
2022-12-20,0.019747119444444444,720
2022-12-21,0.018931567081604428,723
2022-12-22,0.02043361312849162,716
2022-12-23,0.0247241313559322,708
2022-12-24,0.024957576704545455,704
2022-12-25,0.025284348011363634,704
2022-12-26,0.022958486562942006,707
2022-12-27,0.0251162993006993,715
2022-12-28,0.027975567454798334,719
2022-12-29,0.0264626560332871,721
2022-12-30,0.02257205594405594,715
2022-12-31,0.024190827489481065,713
2023-01-01,0.024211161335187758,719
2023-01-02,0.023335082402234638,716
2023-01-03,0.022869153103448274,725
2023-01-04,0.0261564958677686,726
2023-01-05,0.026538070344827584,725
2023-01-06,0.024938039835164835,728
2023-01-07,0.026876174931129475,726
2023-01-08,0.02622430982019364,723
2023-01-09,0.026367266296809983,721
2023-01-10,0.027547903765690378,717
2023-01-11,0.02583681491712707,724
2023-01-12,0.0270849122085048,729
2023-01-13,0.026167031724137934,725
2023-01-14,0.02907619341563786,729
2023-01-15,0.031852832647462276,729
2023-01-16,0.028718987569060772,724
2023-01-17,0.024834150684931507,730
2023-01-18,0.024008522696011003,727
2023-01-19,0.025197501369863016,730
2023-01-20,0.026127467213114753,732
2023-01-21,0.02583209849521204,731
2023-01-22,0.028092593964334705,729
2023-01-23,0.028305141289437584,729
2023-01-24,0.026711700410396718,731
2023-01-25,0.02815118553888131,733
2023-01-26,0.02806359455782313,735
2023-01-27,0.027869473469387753,735
2023-01-28,0.03045035704514364,731
2023-01-29,0.029174626886145406,729
2023-01-30,0.02490216802168022,738
2023-01-31,0.02512331848852901,741
2023-02-01,0.02479974089068826,741
2023-02-02,0.026213666218034993,743
2023-02-03,0.02909040348525469,746
2023-02-04,0.03211075978407558,741
2023-02-05,0.03161730997304582,742
2023-02-06,0.031823971849865955,746
2023-02-07,0.02906777376171352,747
2023-02-08,0.028535211436170212,752
2023-02-09,0.03141879415670651,753
2023-02-10,0.03183368841544607,751
2023-02-11,0.030120262666666668,750
2023-02-12,0.03295012955465587,741
2023-02-13,0.03543072229639519,749
2023-02-14,0.0355950509383378,746
2023-02-15,0.03217266844919786,748
2023-02-16,0.029547223262032088,748
2023-02-17,0.03111635552596538,751
2023-02-18,0.032702583444592793,749
2023-02-19,0.033536809906291834,747
2023-02-20,0.030811477911646585,747
2023-02-21,0.03315900401069519,748
2023-02-22,0.03254053989361702,752
2023-02-23,0.0323210625,752
2023-02-24,0.032649829590488774,757
2023-02-25,0.03038358201058201,756
2023-02-26,0.03264092734478203,757
2023-02-27,0.03461635177865612,759
2023-02-28,0.029964241622574956,1134
2023-03-01,0.033981321799307955,1156
2023-03-02,0.03162970872947277,1157
2023-03-03,0.03382406724137931,1160
2023-03-04,0.03599955497835498,1155
2023-03-05,0.03846203726169844,1154
2023-03-06,0.03619031483087597,1153
2023-03-07,0.03608211130284728,1159
2023-03-08,0.03482462618432386,1161
2023-03-09,0.034328292850990524,1161
2023-03-10,0.03191506620808254,1163
2023-03-11,0.03280464853195164,1158
2023-03-12,0.032326514236410704,1159
2023-03-13,0.03399730034423408,1162
2023-03-14,0.03557496020761246,1156
2023-03-15,0.03698042350907519,1157
2023-03-16,0.03870317962003455,1158
2023-03-17,0.036687942241379314,1160
2023-03-18,0.038635860505666954,1147
2023-03-19,0.038321993006993,1144
2023-03-20,0.03837518977469671,1154
2023-03-21,0.03896156833910035,1156
2023-03-22,0.0367080793787748,1159
2023-03-23,0.034781981958762885,1164
2023-03-24,0.03486176030927835,1164
2023-03-25,0.03690240086206897,1160
2023-03-26,0.03740906846999155,1183
2023-03-27,0.03794645264040234,1193
2023-03-28,0.039447432635983264,1195
2023-03-29,0.0411451186299081,1197
2023-03-30,0.04172737907949791,1195
2023-03-31,0.0390704582299421,1209
2023-04-01,0.03947673512154233,1193
2023-04-02,0.039154477424749166,1196
2023-04-03,0.03822527606338616,1199
2023-04-04,0.034333103247293925,1201
2023-04-05,0.03454882431307244,1201
2023-04-06,0.03586733805162365,1201
2023-04-07,0.03821706244796003,1201
2023-04-08,0.03725351793160967,1199
2023-04-09,0.039538702680067005,1194
2023-04-10,0.040472179166666664,1200
2023-04-11,0.04438578119800333,1202
2023-04-12,0.04387650857142857,1225
2023-04-13,0.04366176910435497,1217
2023-04-14,0.04075027677100494,1214
2023-04-15,0.038029111847555926,1207
2023-04-16,0.038132964285714284,1204
2023-04-17,0.042250854045037534,1199
2023-04-18,0.043471680532445926,1202
2023-04-19,0.043457092715231786,1208
2023-04-20,0.043339311934156376,1215
2023-04-21,0.04092459950657895,1216
2023-04-22,0.03780250788381743,1205
2023-04-23,0.0376659991687448,1203
2023-04-24,0.03912724132231405,1210
2023-04-25,0.038072723770491805,1220
2023-04-26,0.03825332895816243,1219
2023-04-27,0.039120564754098364,1220
2023-04-28,0.039440326813365935,1227
2023-04-29,0.037715899591836737,1225
2023-04-30,0.03923682992641047,1223
2023-05-01,0.03865752571428571,1225
2023-05-02,0.03687025568181818,1232
2023-05-03,0.03680543306451613,1240
2023-05-04,0.037284491552695094,1243
2023-05-05,0.03795411048387097,1240
2023-05-06,0.037778638573743924,1234
2023-05-07,0.03786658617886179,1230
2023-05-08,0.037691436585365855,1230
2023-05-09,0.03882496188158962,1233
2023-05-10,0.04083781478472786,1231
2023-05-11,0.04060829991850041,1227
2023-05-12,0.039546130364372475,1235
2023-05-13,0.03846240373679935,1231
2023-05-14,0.03741301309328969,1222
2023-05-15,0.03789361769480519,1232
2023-05-16,0.04010410913500404,1237
2023-05-17,0.04013709155485399,1267
2023-05-18,0.04117031987075929,1238
2023-05-19,0.037751705882352944,1241
2023-05-20,0.034709110751818914,1237
2023-05-21,0.03740940728744939,1235
2023-05-22,0.04128096839546191,1234
2023-05-23,0.04142722745735175,1231
2023-05-24,0.04201138665594856,1244
2023-05-25,0.04040954065040651,1230
2023-05-26,0.04193230719482619,1237
2023-05-27,0.043458648,1250
2023-05-28,0.042204469205834684,1234
2023-05-29,0.04173128200972447,1234
2023-05-30,0.04031483954619124,1234
2023-05-31,0.039892288082083664,1267
2023-06-01,0.04133159797033568,1281
2023-06-02,0.043987615019762845,1265
2023-06-03,0.043194187096774195,1240
2023-06-04,0.04090472712550607,1235
2023-06-05,0.041317023405972556,1239
2023-06-06,0.0435553577170418,1244
2023-06-07,0.0408637,1240
2023-06-08,0.04022739854486661,1237
2023-06-09,0.04084474536663981,1241
2023-06-10,0.043646549193548385,1240
