date,pm25,pm25_n_stations
2022-09-25,6.105620111208792,2275
2022-09-26,5.535372349611543,2703
2022-09-27,5.329798308888889,2250
2022-09-28,4.852062315222272,2227
2022-09-29,5.056905199444885,2522
2022-09-30,5.998141066756273,2232
2022-10-01,5.709677533392698,2246
2022-10-02,5.346266239081325,2656
2022-10-03,5.664890256660746,2252
2022-10-04,6.399911582819383,2270
2022-10-05,7.312888189715621,2567
2022-10-06,8.085100226497595,2287
2022-10-07,7.870594714098647,2291
2022-10-08,6.677687946980854,2716
2022-10-09,7.597313193306913,2271
2022-10-10,8.635910586161303,2269
2022-10-11,9.154035618955513,2585
2022-10-12,8.99819636695652,2300
2022-10-13,7.113343119286025,2297
2022-10-14,7.175705626202813,2702
2022-10-15,7.422825464690497,2294
2022-10-16,7.687299554148472,2290
2022-10-17,6.445457505430566,2578
2022-10-18,5.595463352915388,2281
2022-10-19,6.1993175453752185,2292
2022-10-20,8.285043914473684,2736
2022-10-21,9.542824936521738,2300
2022-10-22,10.598544772687609,2292
2022-10-23,8.75300972066822,2574
2022-10-24,7.429825680439561,2275
2022-10-25,6.870859592756184,2264
2022-10-26,5.692806639035418,2654
2022-10-27,5.712361204605846,2258
2022-10-28,7.270343354157501,2273
2022-10-29,9.179731127145086,2564
2022-10-30,9.938829701986755,2265
2022-10-31,9.555440887908208,2266
2022-11-01,9.672092331254586,2726
2022-11-02,10.083086250000001,2300
2022-11-03,9.68768287587108,2296
2022-11-04,8.278864048536208,2596
2022-11-05,5.764756366754618,2274
2022-11-06,5.8513763819383255,2270
2022-11-07,5.52113306366344,2686
2022-11-08,5.731556861220905,2277
2022-11-09,7.612548683421517,2268
2022-11-10,8.180152790089739,2563
2022-11-11,6.599426779307282,2252
2022-11-12,6.56254517316209,2258
2022-11-13,5.678556674685418,2702
2022-11-14,6.8127273529411765,2261
2022-11-15,7.905905030701754,2280
2022-11-16,7.633582414984472,2576
2022-11-17,8.045826165433173,2297
2022-11-18,7.796591459353147,2288
2022-11-19,7.686572913986536,2674
2022-11-20,7.548937745245467,2261
2022-11-21,9.015607477876106,2260
2022-11-22,11.635332169465052,2561
2022-11-23,13.021140492994746,2284
2022-11-24,12.20569869190372,2285
2022-11-25,9.303434531883523,2713
2022-11-26,8.695693909850483,2274
2022-11-27,7.314592575209528,2267
2022-11-28,6.640474364170913,2551
2022-11-29,7.557805046470846,2281
2022-11-30,5.706256527704485,2274
2022-12-01,5.733088662829559,2693
2022-12-02,6.788724376583661,2289
2022-12-03,6.618671609574,2277
2022-12-04,7.372897848140901,2555
2022-12-05,8.604932482378855,2270
2022-12-06,9.05536059815951,2282
2022-12-07,10.576929985390796,2738
2022-12-08,9.498231018760908,2292
2022-12-09,8.633152311072058,2276
2022-12-10,8.585613617990653,2568
2022-12-11,8.325168686369652,2267
2022-12-12,7.400816600087797,2278
2022-12-13,7.7678921139474655,2703
2022-12-14,7.233967526477024,2285
2022-12-15,6.097323139894086,2266
2022-12-16,6.387889445919563,2561
2022-12-17,7.045139507746791,2259
2022-12-18,7.838901471213463,2258
2022-12-19,8.660375455187802,2689
2022-12-20,10.232294655157343,2288
2022-12-21,11.733773819886611,2293
2022-12-22,9.474490606767795,2571
2022-12-23,6.99449678785172,2239
2022-12-24,7.503695911091154,2227
2022-12-25,7.22912107496136,2588
2022-12-26,7.712678924350939,2234
2022-12-27,8.947713647925033,2241
2022-12-28,9.642365030672435,2543
2022-12-29,9.46361835437527,2297
2022-12-30,9.681892734586794,2287
2022-12-31,9.362049381939304,2702
2023-01-01,9.926951508112724,2342
2023-01-02,9.783815358876117,2349
2023-01-03,7.810183489312977,2620
2023-01-04,6.219360451089278,2341
2023-01-05,5.998152253610876,2354
2023-01-06,7.573970228280625,2751
2023-01-07,8.70438334393554,2358
2023-01-08,9.343575355156183,2337
2023-01-09,10.509650344537814,2618
2023-01-10,11.010335230114846,2351
2023-01-11,12.42932460109983,2364
2023-01-12,9.137339097006853,2773
2023-01-13,5.7554975757832345,2362
2023-01-14,6.387588140631578,2375
2023-01-15,6.729889170196672,2644
2023-01-16,7.041902378987664,2351
2023-01-17,7.886419220475786,2354
2023-01-18,7.284367084548105,2744
2023-01-19,5.95909931896916,2367
2023-01-20,5.371933911553111,2363
2023-01-21,6.938884816057294,2653
2023-01-22,8.265722022024566,2361
2023-01-23,7.178016183932347,2365
2023-01-24,8.904806561850126,2789
2023-01-25,8.08559278424801,2387
2023-01-26,6.31468930886076,2370
2023-01-27,6.503646470211162,2652
2023-01-28,7.228792642228738,2387
2023-01-29,7.34098722231579,2375
2023-01-30,7.002221611713666,2766
2023-01-31,7.055577408579758,2401
2023-02-01,9.128145539108495,2378
2023-02-02,10.176039299394398,2642
2023-02-03,7.056144086827615,2361
2023-02-04,7.51150082382763,2367
2023-02-05,7.787181315431436,2793
2023-02-06,8.770678739075095,2357
2023-02-07,8.356346387083159,2369
2023-02-08,10.442705575471697,2650
2023-02-09,9.022899946644435,2399
2023-02-10,6.293776770191507,2402
2023-02-11,6.458262217594255,2785
2023-02-12,7.921782274247492,2392
2023-02-13,6.9841006428869425,2397
2023-02-14,7.067800524467688,2677
