date,humidity,humidity_n_stations
2022-09-25,54.27309147281324,423
2022-09-26,51.46201237825059,423
2022-09-27,48.541956608490565,424
2022-09-28,50.68305140330189,424
2022-09-29,55.084231995271864,423
2022-09-30,59.79502311217184,419
2022-10-01,63.25489173493976,415
2022-10-02,63.08279877777778,414
2022-10-03,61.07285263461539,416
2022-10-04,61.121881332530116,415
2022-10-05,59.65102373621103,417
2022-10-06,58.6054125430622,418
2022-10-07,58.902745045346066,419
2022-10-08,56.142244727923625,419
2022-10-09,55.44972598568019,419
2022-10-10,56.11792931980907,419
2022-10-11,56.34112348086125,418
2022-10-12,57.814096766109785,419
2022-10-13,57.113224683333335,420
2022-10-14,52.232022648325355,418
2022-10-15,57.079926619617225,418
2022-10-16,62.00037277033493,418
2022-10-17,59.51600978520286,419
2022-10-18,52.06253251068883,421
2022-10-19,46.92117724703088,421
2022-10-20,44.429600722748816,422
2022-10-21,46.926044713270144,422
2022-10-22,57.16231447268409,421
2022-10-23,61.878596028503566,421
2022-10-24,59.86665242992874,421
2022-10-25,60.348400695962,421
2022-10-26,64.6312911472684,421
2022-10-27,58.83292812826603,421
2022-10-28,57.037731312796204,422
2022-10-29,57.080511703087886,421
2022-10-30,58.77579502857142,420
2022-10-31,60.99810150952381,420
2022-11-01,62.43637194033413,419
2022-11-02,64.77911963397129,418
2022-11-03,68.5757276354916,417
2022-11-04,66.99600717745804,417
2022-11-05,65.57733390865384,416
2022-11-06,64.86002718509616,416
2022-11-07,63.73738482254197,417
2022-11-08,66.35221112740385,416
2022-11-09,67.25146863855421,415
2022-11-10,66.9788297584541,414
2022-11-11,68.45996138834951,412
2022-11-12,66.42984370631068,412
2022-11-13,63.63666352184465,412
2022-11-14,63.48477846376811,414
2022-11-15,66.9217354313253,415
2022-11-16,62.47963856354916,417
2022-11-17,59.05064484172662,417
2022-11-18,57.17080277458034,417
2022-11-19,53.23390472355769,416
2022-11-20,49.234158002409636,415
2022-11-21,50.273997442583735,418
2022-11-22,53.536592734449755,418
2022-11-23,58.366183446043166,417
2022-11-24,60.62874938609113,417
2022-11-25,60.97708298561151,417
2022-11-26,62.37620512709832,417
2022-11-27,67.16778787529975,417
2022-11-28,67.733504569378,418
2022-11-29,68.27939985406698,418
2022-11-30,63.603418181818185,418
2022-12-01,58.56192884134615,416
2022-12-02,67.03576983373495,415
2022-12-03,70.52948755932204,413
2022-12-04,69.61980081642511,414
2022-12-05,74.5244167125604,414
2022-12-06,79.22572676213592,412
2022-12-07,80.6193269589372,414
2022-12-08,76.7385331180723,415
2022-12-09,72.15125305569008,413
2022-12-10,73.56163095157385,413
2022-12-11,75.0160618907767,412
2022-12-12,77.87278633253013,415
2022-12-13,75.05235646265061,415
2022-12-14,73.26844033574879,414
2022-12-15,72.78845536956521,414
2022-12-16,66.62232697820824,413
2022-12-17,63.419733320388346,412
2022-12-18,64.17993124939467,413
2022-12-19,66.01031662560386,414
2022-12-20,67.62747475180723,415
2022-12-21,69.40242152048192,415
2022-12-22,71.25561708192771,415
2022-12-23,66.34293946973365,413
2022-12-24,63.138392931707315,410
2022-12-25,61.994397363414635,410
2022-12-26,65.7894514136253,411
2022-12-27,68.4771508478261,414
2022-12-28,70.31552580769231,416
2022-12-29,73.22236210144928,414
2022-12-30,78.25622983170732,410
2022-12-31,84.41915788807785,411
2023-01-01,80.94860841542288,402
2023-01-02,82.9461347531172,401
2023-01-03,83.2406153880597,402
2023-01-04,77.34332554094293,403
2023-01-05,75.48938023631841,402
2023-01-06,75.27573926237623,404
2023-01-07,71.38751143920595,403
2023-01-08,69.4571308560794,403
2023-01-09,73.50905026799008,403
2023-01-10,73.6848788159204,402
2023-01-11,76.07657831188119,404
2023-01-12,73.35629157425743,404
2023-01-13,70.41469754679802,406
2023-01-14,71.42596900000001,406
2023-01-15,73.83113167990075,403
2023-01-16,74.74450130445544,404
2023-01-17,77.13274414532019,406
2023-01-18,76.57395095320197,406
2023-01-19,74.62057628395063,405
2023-01-20,69.6079515049261,406
2023-01-21,70.54436029629629,405
2023-01-22,73.94868626419753,405
2023-01-23,68.6722563308642,405
2023-01-24,69.11329713546799,406
2023-01-25,72.70989751980198,404
2023-01-26,65.57002348138958,403
2023-01-27,63.51485056683169,404
2023-01-28,66.64944110421835,403
2023-01-29,74.10460317955112,401
2023-01-30,70.30742093052109,403
2023-01-31,63.07476622332506,403
2023-02-01,60.66778815189873,395
2023-02-02,61.87670040712468,393
2023-02-03,54.90633807106599,394
2023-02-04,56.31515037055838,394
2023-02-05,64.75929825888325,394
2023-02-06,65.99086516120906,397
2023-02-07,63.55465903266332,398
2023-02-08,65.433907325,400
2023-02-09,63.5237995875,400
2023-02-10,58.0442485436409,401
2023-02-11,58.118527456359104,401
2023-02-12,59.61562328428927,401
2023-02-13,59.07096007462686,402
2023-02-14,62.675274595,400
2023-02-15,60.368099602499996,400
2023-02-16,61.963787492499996,400
2023-02-17,57.00747155,400
2023-02-18,51.8684674,400
2023-02-19,56.466337245000005,400
2023-02-20,61.286163374999994,400
2023-02-21,64.73048108521303,399
2023-02-22,69.03574679949875,399
2023-02-23,72.1313515525,400
2023-02-24,69.65505903258145,399
2023-02-25,72.7298308459596,396
2023-02-26,74.0463267979798,396
2023-02-27,70.35645704534005,397
2023-02-28,69.30803909476309,401
2023-03-01,67.18314290953545,409
2023-03-02,68.23515447201946,411
2023-03-03,68.97170291727494,411
2023-03-04,67.98732116829268,410
2023-03-05,66.01872119756098,410
2023-03-06,65.01566200731708,410
2023-03-07,64.4589206902439,410
2023-03-08,63.91815005839416,411
2023-03-09,65.47336723543688,412
2023-03-10,74.86715605084746,413
2023-03-11,72.51032876029056,413
2023-03-12,74.28817404600484,413
2023-03-13,70.69654828813559,413
2023-03-14,67.75834258353511,413
2023-03-15,64.83404591747573,412
2023-03-16,63.09978616788322,411
2023-03-17,63.13902420437956,411
2023-03-18,52.571876176039126,409
2023-03-19,53.17524344362745,408
2023-03-20,59.042264953545235,409
2023-03-21,66.30406239999999,410
2023-03-22,73.73965632107843,408
2023-03-23,74.96520895110025,409
2023-03-24,68.29985672549019,408
2023-03-25,63.982628184275185,407
2023-03-26,59.129290926289926,407
2023-03-27,58.73408837254902,408
2023-03-28,56.73782454166667,408
2023-03-29,59.43150565770171,409
2023-03-30,62.66614302682927,410
2023-03-31,64.16559774754903,408
2023-04-01,58.149539288834944,412
2023-04-02,55.47603969852941,408
2023-04-03,59.34215004136253,411
2023-04-04,64.53577140096618,414
2023-04-05,60.26909323429952,414
2023-04-06,53.711362447115384,416
2023-04-07,51.536209115384615,416
2023-04-08,52.60295781730769,416
2023-04-09,52.17577522596154,416
2023-04-10,51.4407295,416
2023-04-11,48.835148158653844,416
2023-04-12,47.79731001923077,416
2023-04-13,51.729476709832134,417
2023-04-14,56.859230893975905,415
2023-04-15,59.67578122222222,414
2023-04-16,57.59419798547216,413
2023-04-17,52.70632554457832,415
2023-04-18,53.035697423076925,416
2023-04-19,52.09977011352657,414
2023-04-20,50.599838748201435,417
2023-04-21,54.005299120192305,416
2023-04-22,57.5162335377129,411
2023-04-23,57.08213920192308,416
2023-04-24,55.36559621875001,416
2023-04-25,59.86470103349282,418
2023-04-26,58.72379450119904,417
2023-04-27,58.08985417266187,417
2023-04-28,58.403958243373495,415
2023-04-29,55.04526744660194,412
2023-04-30,56.155707016990284,412
2023-05-01,52.643429851941754,412
2023-05-02,53.603951719128325,413
2023-05-03,53.34547115421687,415
2023-05-04,61.95572376682692,416
2023-05-05,62.296816004807695,416
2023-05-06,61.35074206024096,415
2023-05-07,61.42914465301205,415
2023-05-08,60.226388838554215,415
2023-05-09,58.666985218446605,412
2023-05-10,57.1896700776699,412
2023-05-11,60.21937661407767,412
2023-05-12,60.82361097349398,415
2023-05-13,61.56945692978208,413
2023-05-14,60.65338105825243,412
2023-05-15,58.56225802682927,410
2023-05-16,57.484249309927364,413
2023-05-17,55.28085726699029,412
2023-05-18,57.096027389294406,411
2023-05-19,61.90227973607748,413
2023-05-20,61.51389764320388,412
2023-05-21,57.13345199514563,412
2023-05-22,55.72616872639225,413
2023-05-23,57.630980922330096,412
2023-05-24,59.23745366343825,413
2023-05-25,56.198138046116505,412
2023-05-26,55.96552774271844,412
2023-05-27,54.77870509002433,411
2023-05-28,57.37977257420925,411
2023-05-29,56.68095622249389,409
2023-05-30,56.16804017274939,411
2023-05-31,57.42592208937198,414
2023-06-01,59.21586495923261,417
2023-06-02,59.71823017505995,417
2023-06-03,59.987415539568346,417
2023-06-04,58.95106931490385,416
2023-06-05,57.95627223076924,416
2023-06-06,57.87571460047847,418
2023-06-07,60.29261043914081,419
2023-06-08,59.115256107655505,418
2023-06-09,57.759312736842105,418
2023-06-10,60.25819585851319,417
2023-06-11,64.78812320432692,416
2023-06-12,66.21781675059952,417
2023-06-13,63.71510952997602,417
2023-06-14,62.47409705023924,418
2023-06-15,62.61302937889688,417
2023-06-16,61.27854050359712,417
2023-06-17,58.646536881927716,415
2023-06-18,57.10450511352657,414
2023-06-19,57.775438667475726,412
2023-06-20,57.808722313253014,415
2023-06-21,57.580128148681055,417
2023-06-22,59.271237992771084,415
2023-06-23,60.72618550843374,415
2023-06-24,58.40461257004831,414
2023-06-25,56.14588140096618,414
2023-06-26,56.62101120673076,416
2023-06-27,58.980062930622005,418
2023-06-28,59.269631925837324,418
2023-06-29,58.500926482014385,417
2023-06-30,57.61191883894231,416
2023-07-01,57.3010781642512,414
2023-07-02,56.27689173188406,414
2023-07-03,55.16056272048193,415
2023-07-04,57.91603713075061,413
2023-07-05,58.62972233975904,415
2023-07-06,58.285473255421685,415
2023-07-07,58.57886523373494,415
2023-07-08,60.35766880145279,413
2023-07-09,58.72749460583942,411
2023-07-10,54.90608607748184,413
2023-07-11,50.65201260869565,414
2023-07-12,50.6712584842615,413
2023-07-13,52.0566782276029,413
2023-07-14,54.25660195620438,411
2023-07-15,55.57511236585366,410
2023-07-16,55.32013492665036,409
2023-07-17,52.30505848668281,413
2023-07-18,52.793861762135926,412
2023-07-19,55.38366371186441,413
2023-07-20,56.34378899270073,411
2023-07-21,55.227025474327625,409
2023-07-22,51.228315767726166,409
2023-07-23,51.12896517359413,409
2023-07-24,53.127071009779954,409
2023-07-25,52.86787084184915,411
2023-07-26,50.80869412348668,413
2023-07-27,52.4807419686747,415
2023-07-28,52.12523872463768,414
2023-07-29,53.5625492566586,413
2023-07-30,51.36959878345499,411
2023-07-31,54.29597152173913,414
2023-08-01,55.87849447242206,417
2023-08-02,58.00234977511962,418
2023-08-03,60.68282301913875,418
2023-08-04,61.049178776978415,417
2023-08-05,59.21990023501199,417
2023-08-06,58.86737155635492,417
2023-08-07,60.01086177218225,417
2023-08-08,59.81328477697841,417
2023-08-09,59.640216802884616,416
2023-08-10,59.86310521634615,416
2023-08-11,59.04157166987952,415
2023-08-12,58.472723915458936,414
2023-08-13,58.59021208695653,414
2023-08-14,57.66757785336539,416
2023-08-15,56.633751746411484,418
2023-08-16,53.614022543062205,418
2023-08-17,55.51818004076738,417
2023-08-18,54.49843968105515,417
